Course ID,Course Subject,Course Number,Course Name,Career,Course Description
045085,ACCO,652,BUSINESS ADVISORY SERVICES,GRAD,Please see GRAD Calendar
045114,ACCO,470,SPECIAL TOPICS IN ACCOUNTING,UGRD,Prerequisite: Written permission of the Department. This course is intended to complement accounting courses taken previously or concurrently at the senior level. It provides an opportunity for more intensive study in one or more specific topics in accounting.
045884,ACCO,652T,TUTORIAL IN BUSINESS ADV SER,GRAD,Please see GRAD Calendar
045885,ACCO,653T,TUTORIAL IN INF SYS/INT.CONT,GRAD,Please see GRAD Calendar
046442,ACCO,471,ACCOUNTING SEMINAR,UGRD,Please see UGRD Calendar
046443,ACCO,590,SPECIAL SEMINAR/ACCOUNTING,GRAD,Please see GRAD Calendar
046444,ACCO,595,SPECIAL TOPICS IN ACCO,GRAD,Please see GRAD Calendar
047353,ACCO,655,Taxation and Decision-Making,GRAD,Please see Graduate Calendar
047354,ACCO,655T,Tutorial in Taxation/Decision making,GRAD,Please see Graduate Calendar
047360,ACCO,658,Capstone I Seminar,GRAD,"Prerequisites: ACCO 650, 651, 652, 653 and two elective courses.This course is designed to enhance the development of the student as a strategic thinker. The course builds on all previously acquired competencies. The content, structure and delivery of the course are designed to develop the strategic leadership capabilities of the student and ensure an integrative perspective is brought to decision making. The course combines individual and group work, in both written assignments and oral presentations."
047361,ACCO,658T,Tutorial in Capstone I Seminar,GRAD,Please see Graduate Calendar
047363,ACCO,659,Capstone II Examination Preparation,GRAD,Please see Graduate Calendar
047364,ACCO,659T,Tutorial in Capstone II Examination,GRAD,Please see Graduate Calendar
047367,ACCO,654,Assurance and Professional Practice,GRAD,Please see Graduate Calendar
047368,ACCO,654T,Tutorial in Assurance and Professional Practice,GRAD,Please see Graduate Calendar
047369,ACCO,656,Performance Management,GRAD,"Prerequisites: ACCO 652, 653.The objective of this course is to enhance the student’s ability to assess and contribute to overall performance management, by developing and analyzing strategic decision making, supporting effective governance, managing and mitigating risk. It builds on skills developed primarily within the core courses."
047370,ACCO,656T,Tutorial in Performance Management,GRAD,Please see Graduate Calendar
047371,ACCO,657,Financial Strategies and Decisions,GRAD,"Prerequisites: ACCO 651, 652.In this course, students build upon finance-related material from previous courses to provide finance-related services for their organizations. To understand and communicate with other finance professionals, studentds identify, analyze, evaluate and recommend investment and financing strategies and make decisions, either individually or as part of a larger team.Tutorial Courses"
047372,ACCO,657T,Tutorial in Financial Strategies and Decisions,GRAD,Please see Graduate Calendar
048073,ACCO,692,Tax Planning and Decision Making for Managers,GRAD,
048544,ACCO,360,Principles of Auditing,UGRD,"Prerequisite: COMM 305. This course examines the concepts and methods of auditing and how internal and external audits are integrated in a more general corporate governance and risk management framework. The importance of the design and monitoring of effective internal controls is highlighted. The objectives, concepts and methods of auditing are illustrated with examples and short cases. They are also applied to solve simple problems and cases."
048619,ACCO,495,HONOURS SEMINAR IN ACCOUNTANCY,UGRD,"Prerequisite: Enrolment in the honours program; ACCO 400 previously or concurrently. This seminar is offered to students in the Honours in Accountancy program over the course of two terms. In the first term, the seminar surveys accounting history, research methodology and recent research in topics covered in the Accountancy curriculum. In addition, students begin working on a research or case project to be conducted under the supervision of a faculty member. In the second term, students complete their project for submission by the end of the term. Presentation of the project at a poster session or department seminar is also required."
048720,ACCO,600,TUTORIAL IN FINA REP/PRACTICE,GRAD,Students who have taken ACCO 650T may not take this course for credit.
048817,ACCO,601,TUTORIAL IN FINA REP/COM APP,GRAD,Students who have taken ACCO 651T may not take this course for credit.
048824,ACCO,602,TUTORIAL IN BUSINESS ADV SER,GRAD,Students who have taken ACCO 652T may not take this course for credit
048825,ACCO,603,TUTORIAL IN INF SYS/INT.CONT,GRAD,Students who have taken ACCO 653T may not take this course for credit.
048826,ACCO,604,Tutorial in Assurance and Professional Practice,GRAD,Students who have taken ACCO 654T may not take this course for credit
048827,ACCO,605,Tutorial in Taxation/Decision making,GRAD,Students who have taken ACCO 655T may not take this course for credit
048828,ACCO,606,Tutorial in Performance Management,GRAD,"Prerequisites: ACCO 656 and permission of the program director.This course is designed to enhance the competencies of students in the program who will benefit from additional exposure to the subject matter covered in ACCO 656. The objective is to enhance the student’s ability to assess and contribute to overall performance management, by developing and analyzing strategic decision making, supporting effective governance, managing and mitigating risk. It builds on skills developed primarily within the core courses. This course is evaluated on the same basis as ACCO 656, in the term the course is taken."
048829,ACCO,607,Tutorial in Financial Strategies and Decisions,GRAD,"Prerequisites: ACCO 657 and permission of the program director.This course is designed to enhance the competencies of students in the program who will benefit from additional exposure to the subject matter covered in ACCO 657. Students build upon finance-related material from previous courses to provide finance-related services for their organizations. To understand and communicate with other finance professionals, students identify, analyze, evaluate and recommend investment and financing strategies, and make decisions, either individually or as part of a larger team. This course is evaluated on the same basis as ACCO 657, in the term the course is taken."
048830,ACCO,608,Tutorial in Capstone I Seminar,GRAD,"Prerequisites: ACCO 658 and permission of the program director.This course is designed to enhance the competencies of students in the program who will benefit from additional exposure to the subject matter covered in ACCO 658. The objective is to develop the student as a strategic thinker and build on all previously acquired competencies. The content, structure and delivery of the course are designed to develop the strategic leadership capabilities of the student and ensure an integrative perspective is brought to decision making. The course combines individual and group work, in both written assignments and oral presentations. This course is evaluated on the same basis as ACCO 658, in the term the course is taken."
048831,ACCO,609,Tutorial in Capstone II Examination,GRAD,"Prerequisites: ACCO 659 and permission of the program director.This course is designed to enhance the competencies of students in the program who will benefit from additional exposure to the subject matter covered in ACCO 659. The students work individually to solve complex and highly integrative cases that simulate real-life business issues. The course draws on all competencies acquired throughout the CPA program and is designed specifically for students intending to write the CPA Canada Common Final Examination (CFE). This course is evaluated on the same basis as ACCO 659, in the term the course is taken."
047731,ACTT,231,Ensemble I,UGRD,"Prerequisite: Enrolment in the Specialization in Acting for the Theatre or written permission of the Department of Theatre. This studio class covers the elements of preparation for theatrical presentation with emphasis on the co-operative nature of theatre. Studio work includes ongoing movement and voice training, and instruction in sensory awareness, spatial relationships, improvisational techniques, and performer-audience relationships."
047732,ACTT,332,Improvisation,UGRD,"Prerequisite: ACTT 321 and 325; or written permission of the Department of Theatre. A thorough introduction to improvisation as a method of creation for the stage, using skills such as mask, commedia dell’arte, or the techniques of Keith Johnstone.."
047733,ACTT,432,Rasaboxes,UGRD,"Prerequisite: ACTT 321 and 325; or written permission of the Department of Theatre. Building on the skills developed in voice and movement classes, this studio course provides an intensive introduction to the performance of emotion, based on the Rasaboxes training as developed by Richard Schechner."
047734,ACTT,436,One-Act Project A,UGRD,Prerequisite: Written permission of the Department of Theatre. This public performance course offers supervised application of theatrical skills in the collaborative realization of a threatre production of a one-act text from the worldwide body of dramatic literature.
047735,ACTT,440,Supervised Acting Performance Project,UGRD,Prerequisite: FFAR 250; 18 credits in a specialization of the Department of Theatre; and written permission of the Department. This studio course provides students with the opportunity to work in self-selected teams to develop short projects in response to a given theme for performance in a festival format. The course involves working with limited resources with an emphasis on exploration of acting processes. This course has a public performance outcome.
047738,ACTT,450,Advanced Acting Studio,UGRD,"Prerequisite: ACTT 321, 325. Building on the skills developed in movement and voice for the stage, this studio course provides advanced students with the opportunity to apply their skills to text study and character development in an intensive environment without the pressure of creating a public performance. The course may introduce a variety of acting styles to promote further skill development.."
047739,ACTT,462,Classical Text Project C,UGRD,"Prerequisite: Written permission of the Department. This public performance course offers supervised application of theatrical skills in the collaborative realization of a theatre production of an iconic text from the worldwide body of dramatic literature, written by a widely recognized playwright, such as Shakespeare, Kālidāsa, Ibsen, Chekhov, or Zeami."
047740,ACTT,480,Designing an Acting Workshop,UGRD,"Prerequisite: Written permission of the Department of Theatre. This studio course provides students with the opportunity to design a course framework under the guidance of the instructor that includes curriculum, implementation, and assessment for students. Students develop a philosophy of teaching and learning through sustained reflection of their own creative process and selected readings."
047741,ACTT,481,Conducting an Acting Workshop,UGRD,"Prerequisite: ACTT 480 and written permission of the Department of Theatre. This advanced studio course builds on the skills acquired in ACTT 480 to focus on the development of skills required in conducting an acting workshop: active observation, instructional strategies to deliver the curriculum, and assessment."
047760,ACTT,460,Classical Text Project A,UGRD,"Prerequisite: Written permission of the Department of Theatre. This public performance course offers supervised application of theatrical skills in the collaborative realization of a theatre production of an iconic text from the worldwide body of dramatic literature, written by a widely recognized playwright, such as Shakespeare, Kālidāsa, Ibsen, Chekhov, or Zeami."
047761,ACTT,465,Final Acting Project,UGRD,"Prerequisite: 48 credits in the Specialization in Acting for the Theatre; and written permission of the Department of Theatre. Admission is by audition or application. This studio course involves the supervised creation and performance of a solo or ensemble theatre piece, the development of audition technique, and other career-oriented skills. The emphasis is on crystallizing each student’s unique theatrical identity, while solidifying collaborative skills. This course has a public performance outcome.."
047848,ACTT,201,Introduction to Acting I,UGRD,"This course emphasizes the development of imagination and physical expression, including the basics of improvisation, the playing of intention, and the group ensemble experience working towards presentation."
047849,ACTT,202,Introduction to Acting II,UGRD,"Prerequisite: ACTT 201 or written permission of the Department of Theatre. This course builds on skills previously acquired in the area of playing intention and group ensemble, emphasizing the development of skills pertaining to language, character, and text."
047850,ACTT,209,The Engaged Theatre Artist,UGRD,Prerequisite: Enrolment in a specialization in the Department of Theatre or written permission of the Department. This studio course is designed to bring together students from all of the Department’s specializations to explore basic skills and principles of performance creation and acting for the theatre. The course combines theoretical readings and practical explorations relating to diverse perspectives on an artist’s role in society.
047851,ACTT,210,Scene Study I,UGRD,"Prerequisite: ACTT 209 or PERC 209 or written permission of the Department of Theatre. This studio course places increased emphasis on movement, voice, and text interpretation, working in a realistic style of physical actions such as Stanislavski’s work on embodiment. The course offers foundational principles for creating a role, with focus on contemporary and early modern realistic dramatic texts."
047852,ACTT,211,Voice and Movement for the Stage I,UGRD,"Prerequisite: Enrolment in the Specialization in Acting for the Theatre or written permission of the Department of Theatre. This studio course cultivates the expressive potential of the actor’s instrument: the body, voice, and imagination. It aims to hone the basic tools of physical and of vocal expression. Students practise applying these tools in études, poetry performances, and scenes."
047854,ACTT,298,Special Topics in Acting,UGRD,Prerequisite: Written permission of the Department of Theatre. This course provides opportunities for studies in selected styles or modes of theatre performance.
047855,ACTT,299,Special Topics in Acting,UGRD,Prerequisite: Written permission of the Department of Theatre. This course provides opportunities for studies in selected styles or modes of theatre performance.
047856,ACTT,331,Scene Study II,UGRD,"Prerequisite: ACTT 210 or written permission of the Department of Theatre. In this studio course, students examine, develop, and refine their individual processes for analyzing, exploring, rehearsing, and performing scenes from dramatic texts, with focus on non-realistic genres of text, such as existentialism, absurdism or expressionism."
047857,ACTT,360,Ensemble II,UGRD,"Prerequisite: ACTT 231 or written permission of the Department of Theatre. This studio course focuses on skill development and performance of a particular theatrical genre, such as Elizabethan verse, red-nose clown, or Brechtian epic theatre."
047858,ACTT,321,Movement for the Stage II,UGRD,"Prerequisite: ACTT 211 or written permission of the Department of Theatre. This studio course is an introduction to various movement-based performance techniques, methods, or approaches, such as Decroux, Laban, LeCoq, Biomechanics, or somatic work."
047859,ACTT,435,Creation Project C,UGRD,Prerequisite: Written permission of the Department of Theatre. This public performance course offers supervised application of theatrical skills in the collaborative creation of a theatre production.
047860,ACTT,325,Voice for the Stage II,UGRD,"Prerequisite: ACTT 211 or written permission of the Department of Theatre. Building on the voice and speech skills previously introduced, this course emphasizes embodiment, self-awareness, and freedom of breath; authentic, healthy, and expressive vocal use; and clarity and conviction in speaking text."
047861,ACTT,355,Voice for the Stage III,UGRD,"Prerequisite: ACTT 325 or written permission of the Department of Theatre. This studio course provides a thorough introduction to a particular voice-based performance technique, method, or approach, such as choral singing for the theatre or slam poetry."
047862,ACTT,398,Special Topics in Acting,UGRD,Prerequisite: Written permission of the Department of Theatre. This course provides opportunities for studies in selected styles or modes of theatre performance.
047863,ACTT,399,Special Topics in Acting,UGRD,Prerequisite: Written permission of the Department of Theatre. This course provides opportunities for studies in selected styles or modes of theatre performance.
047864,ACTT,358,Movement for the Stage III,UGRD,"Prerequisite: ACTT 321 or written permission of the Department of Theatre. Building on previously acquired skills, this course provides an intensive introduction to a particular movement-based performance technique, method, or approach, such as the Viewpoints or the techniques of Eugenio Barba, as intended for acting specialists.."
047865,ACTT,498,Special Topics in Acting,UGRD,Prerequisite: Written permission of the Department of Theatre. This course provides opportunities for studies in selected styles or modes of theatre performance.
047866,ACTT,499,Special Topics in Acting,GRAD,"Prerequisite: Written permission of the Department of Theatre. This course provides opportunities for studies in selected styles or modes of theatre performance.NOTE: Specific topics, and additional prerequisites if required, are stated in the Undergraduate Class Schedule."
048916,ACTT,370,Clown for the Actor,UGRD,"Prerequisite: ACTT 321 and 325; or written permission of the Department of Theatre. Building on previously acquired skills in movement and voice, this course focuses on the development of clown characters and situations, with focus on Michel Dallaire’s “Jeu Clownesque” approach to clown training and performance."
048917,ACTT,372,Stage Combat,UGRD,"Prerequisite: ACTT 321 or written permission of the Department of Theatre. Building on previously acquired movement skills, this course focuses on the development of unarmed and armed stage combat skills for the actor."
048918,ACTT,433,Creation Project A,UGRD,Prerequisite: Written permission of the Department of Theatre. This public performance course offers supervised application of theatrical skills in the collaborative creation of a theatre production.
048919,ACTT,434,Creation Project B,UGRD,Prerequisite: Written permission of the Department of Threatre. This public performance course offers supervised application of theatrical skills in the collaborative creation of a theatre production.
048920,ACTT,437,One-Act Project B,UGRD,Prerequisite: Written permission of the Department of Theatre. This public performance course offers supervised application of theatrical skills in the collaborative realization of a theatre production of a one-act text from the worldwide body of dramatic literature.
048921,ACTT,438,One-Act Project C,UGRD,Prerequisite: Written permission of the Department of Theatre. This public performance course offers supervised application of theatrical skills in the collaborative realization of a theatre production of a one-act text from the worldwide body of dramatic literature.
048922,ACTT,455,Voice for the Stage IV,UGRD,"Prerequisite: ACTT 355 or written permission of the Department of Theatre. Building on previously acquired skills, this course provides an advanced exploration of a particular voice-based performance technique, method, or approach, such as singing, voice-over or dialects.."
048923,ACTT,458,Movement for the Stage IV,UGRD,"Prerequisite: ACTT 358 or written permission of the Department of Theatre. Building on previously acquired skills, this course provides an advanced exploration of a particular movement-based performance technique, method, or approach, such as Decroux, Laban, Lecoq, biomechanics, or somatic work."
048924,ACTT,461,Classical Text Project B,UGRD,"Prerequisite: Written permission of the Department of Theatre. This public performance course offers supervised application of theatrical skills in the collaborative realization of a theatre production of an iconic text from the worldwide body of dramatic literature, written by a widely recognized playwright, such as Shakespeare, Kālidāsa, Ibsen, Chekhov, or Zeami."
000235,ACTU,256,Mathematics of Finance,UGRD,Prerequisite: MATH 264 previously or concurrently; and permission of the Department. Measurement of interest; annuities and perpetuities; amortization and sinking funds; rates of return; bonds and related securities; life insurance.
000236,ACTU,257,Actuarial Mathematics I,UGRD,Prerequisite: ACTU 256. Measurement of mortality; pure endowments; life insurance; net single premiums; life annuities; net annual premiums; special topics.
000237,ACTU,286,Actuarial Mathematics Lab I,UGRD,This lab features problem-solving sessions for the professional examination on financial mathematics of the Society of Actuaries and the Casualty Actuarial Society.NOTE: Students who have received credit for MATH 229 may not take this course for credit.
000238,ACTU,357,Actuarial Mathematics II,UGRD,"Prerequisite: ACTU 257. Net level premium reserves; multiple life functions; multiple decrements, the expense factor; special topics."
000239,ACTU,386,Actuarial Mathematics Lab II,UGRD,This lab will feature the use of programming languages and software applications.
000241,ACTU,457,Risk Theory,UGRD,"Prerequisite: ACTU 257. Applications of contingency theory in health insurance, individual and collective risk theory, ruin theory."
000242,ACTU,458,Credibility Theory,UGRD,"Prerequisite: ACTU 457; STAT 349 previously or concurrently. Credibility approach to inference for heterogeneous data; classical, regression and Bayesian models; illustrations with insurance data."
000243,ACTU,459,Loss Distributions,UGRD,Prerequisite: ACTU 457; STAT 360. Probability model fitting to loss data; estimation and testing under variety of procedures and sampling designs.
000244,ACTU,486,Actuarial Mathematics Lab III,UGRD,This lab will be a workshop designed to prepare students for the Actuarial Models examination of the Society of Actuaries and the Casualty Actuarial Society.
000245,ACTU,493,Honours Project in Actuarial Mathematics,UGRD,"Specific topics for these courses, and prerequisites relevant in each case, are stated in the Undergraduate Class Schedule.Mathematical and Computational Finance"
046445,ACTU,491,TOPICS/ACTUARIAL MATHEMATICS,UGRD,Please see UGRD Calendar
046446,ACTU,492,RDG CRS/ACTUARIAL MATHEMAT S,UGRD,Please see UGRD Calendar
000246,ADED,201,Concepts and Principles of Adult Education,UGRD,"This course consists of an overview of the field of adult education as a field of study with emphasis given to its philosophy, objectives, historical development, and the nature of adult learners. It also examines adult education as a field of practice with emphasis given to methods, techniques, roles, and competencies. This course stresses active student participation and self‑directedness."
000247,ADED,202,The Scope and Nature of Adult Education Programs,UGRD,"This course is designed to help students develop an understanding of the scope and nature of adult education programs. Emphasis is placed on existing programs, and institutions and agencies providing them. The course stresses active student participation and self‑directedness."
000248,ADED,220,Adults as Learners,UGRD,"This course examines the unique physiological, psychological, and sociological characteristics of adults, their influence on adult learning and development, and their implications for educational intervention. Attention is given to changes which occur at various stages of the adult life cycle, and particularly to the dimensions which affect the adult’s self‑concept and orientation to learning, the motivations, needs, and interests which cause adults to participate in educational activities."
000253,ADED,344,Design of Adult Learning Projects,UGRD,"The purpose of this course is to assist participants in developing a clear working concept of various models for planning and designing adult learning projects. To facilitate this understanding, the different steps of the process are closely examined and discussed. Participants are given an opportunity to design and conduct a learning activity in the area of subject matter speciality. A systems approach, including methods for evaluating the design of the learning project is emphasized."
000254,ADED,345,Evaluating Adult Learning Projects,UGRD,"The purpose of this course is to assist participants in developing a clear working concept of various models for assessing the effectiveness of adult learning projects. The course emphasizes a systematic approach to evaluation, techniques for collecting information and providing feedback to program operation and impact. Participants are given the opportunity to conduct an evaluation of an adult learning project in the area of subject matter speciality."
000257,ADED,403,Diversity in Adults,UGRD,"It is the role of adult educators (agents of change) to confront issues of diversity and to challenge the forces of racism, sexism, classism, homophobia, and discrimination. By integrating notions of education, and by reflecting on the roles of practitioners, this course develops strategies to resist structural inequality and oppression."
000260,ADED,440,ISSUES IN THE PRACTICE,UGRD,"The purpose of this seminar is to study and discuss current issues relating to the field and profession of adult education in general, along with more specific and local concerns. Group and individual interests have an important bearing on the design of this course."
000273,ADED,496,Integrative Internship I,UGRD,"Prerequisite: ADED 201; ADED 202 and 15 credits in the program. This internship is designed to assist individual students in achieving a synthesis of their own experiential learning in light of acquired knowledge, skills, values, and attitudes through the clarification of personal aims and the philosophy of adult education. Students will normally enrol in this internship near the end of their program."
000274,ADED,497,Integrative Internship II,UGRD,"Prerequisite: Successful completion of ADED 496. This internship is designed to extend the personal aims and philosophy of adult education arrived at in Integrative Internship I, and engage in a special project in an adult education facility where supervision is provided by the host institution."
000277,ADED,498C,ADVANCED TOPICS IN ADULT EDUCATION,UGRD,
046447,ADED,489,SPEC TOPICS  IN ADULT EDUC,UGRD,Please see UGRD Calendar
046448,ADED,492,SPECIAL TOPICS SEM IN ADED I,UGRD,Please see UGRD Calendar
046449,ADED,494,SPECIAL TOPIC SEM IN ADED II,UGRD,Please see UGRD Calendar
046450,ADED,498,ADVANCED TOPICS IN ADED,UGRD,"Specific topics for this course, and prerequisites relevant in each case, are stated in the Undergraduate Class Schedule."
000316,ADIP,500,ADED-QUEBEC AS A FIELD STUDY,GRAD,Please see GRAD Calendar
000317,ADIP,501,PHIL ISSUES IN EDUC RESEARCH,GRAD,Please see GRAD Calendar
000318,ADIP,511,EDUC.PROB/PHILOSOPH.PERSPECT,GRAD,Please see GRAD Calendar
000319,ADIP,512,EDUC.PROB./HIST.PERSPECTIVE,GRAD,Please see GRAD Calendar
000320,ADIP,513,ANTH CONCEPTS & METHODS-EDUC,GRAD,Please see GRAD Calendar
000323,ADIP,520,ADULTS AS LEARNERS,GRAD,Please see GRAD Calendar
000325,ADIP,533,FACILITATING ADULT LEARNING,GRAD,Please see GRAD Calendar
000326,ADIP,540,INTRODUCTION TO RESEARCH,GRAD,Please see GRAD Calendar
000327,ADIP,541,DESIGNING ADULT LRN.PROJECTS,GRAD,Please see GRAD Calendar
000328,ADIP,542,EVAL ADULT LEARNING PROJECTS,GRAD,Please see GRAD Calendar
000329,ADIP,544,SCHOOL AND SOCIETY,GRAD,Please see GRAD Calendar
000333,ADIP,572,CONCEPTS & VALUES IN ADED,GRAD,Please see GRAD Calendar
000334,ADIP,580,READING COURSE,GRAD,Please see GRAD Calendar
000335,ADIP,581,READING COURSE,GRAD,Please see GRAD Calendar
000337,ADIP,590,ISSUES IN THE PRACTICE,GRAD,Please see GRAD Calendar
000345,ADIP,598,SPECIAL TOPICS IN ADED II,GRAD,Please see GRAD Calendar
037543,ADIP,597,ADULT EDUCATION I-SELECTED TOPICS,GRAD,Please see GRAD Calendar
040013,ADIP,535,STUDIES/EDUCATIONAL CHANGE,GRAD,Please see GRAD Calendar
